ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
2253,8,1800,27.38,29.52,66.52,22438,100,4.25,0.1, hybrid,131561.148171837,3,50.4658385099436,36.4510869569744
2254,7.5,1800,27.38,17.77,108.1,6754,300,-999,-999, Trans/Eclipse,61058.2286661132,3,36.6956818569722,49.9767025089606
2255,3,1800,27.38,23.05,71.72,13963,100,4.11,0.1, SPB,6741955469.42004,1,8.19530710845238,0
2256,3.4,1800,219.19,76.71,245.75,8728,200,4.43,0.1, Solar-like,1621062.65286833,19,17.9416341176843,13.9671017116001
2257,3.3,1800,54.77,64.48,93.98,35481,100,4.03,0.1, hybrid,919112944.302585,5,30.5810397553516,33.6897298674821
2258,3.7,1800,27.38,46.21,54.06,6520,200,-999,-999, RR Lyrae; ab type,2050172175514.49,9,106.107660456804,62.670289855852
2259,9,1800,27.38,13.75,54.06,6854,227,4.11,0.4, dSct+gDor hybrid,98.5236768206646,2,14.4496204280608,9.91213768128253
2260,3.5,1800,27.4,33.57,141.11,6882,215,4.18,0.4, dSct+gDor hybrid,13082973.7623872,4,30.1464254952628,17.2395348837209
2261,2.4,1800,27.38,15.19,341.38,11990,60,4.27,0.09, SPB,41526680718.5797,1,8.09475119281136,0
2262,8.6,1800,27.4,35.94,275.39,6176,300,-999,-999, Trans/Eclipse,23047781.1381016,1,104.193355537193,0
2263,6.5,1800,27.38,8.5,223.59,4835,300,-999,-999, Trans/Eclipse,1399592683.55079,1,2.69425584649338,0
2264,1.5,1800,27.38,13.31,175.82,7508,262,4.24,0.1, dSct+gDor hybrid;Trans/Eclipse,1807736197.90438,7,26.2095041677408,25.4807940190771
2265,2.6,1800,54.79,65.33,243.23,5587,200,4.21,0.1, Solar-like;Flare,44925921.9902534,1,172.281776415484,0
2266,7.1,1800,54.77,47.83,260.24,5777,200,-999,-999, Trans/Eclipse,129599.545535111,13,40.5463081519421,50.6222791293216
2267,8.4,1800,27.38,41.56,316.25,7498,100,4.24,0.1, dSct;Trans/Eclipse,20674.8653723131,5,30.4590304586542,37.5261261256626
2268,10,1800,27.38,14.12,27.04,7919,200,-999,-999, Trans/Eclipse,1278.2367910016,4,50.1123207182291,55.0819077235241
2269,5,1800,27.38,36.69,324.31,15739,100,3.97,0.1, SPB,71339210.2502362,2,7.66871165634761,4.42152351732815
2270,1,1800,54.77,62.35,216.18,5765,200,4.44,0.1, Solar-like;Trans/Eclipse;Flare,4598149871.63732,15,56.9329660234988,31.9936639116342
2271,3.3,1800,27.38,33.4,189.16,5718,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
2272,8,1800,27.38,22.59,35.95,13960,80,4.09,0.13, SPB,563891.566301006,1,6.4800414721848,0
2273,2.9,1800,27.38,10.88,54.04,6319,300,-999,-999, Trans/Eclipse,939688307620.104,2,16.4161050628681,21.1360808706546
2274,6.3,1800,27.4,33.05,19.9,16160,130,3.91,0.16, SPB,39647664.2531441,2,14.5512987573459,15.7778212140957
2275,10,1800,27.38,49.98,217.3,5012,200,3.24,0.1, Solar-like,3.11805805727991,2,113.428171137371,145.799385707404
2276,2.1,1800,27.4,33.44,146.93,26242,100,3.66,0.1, bCep,14459351579.6298,3,25.4091300602929,24.9015503875968
2277,3.7,1800,27.38,58.75,71.61,14157,100,4,0.1, SPB,1470704316.47979,1,7.76397515537594,0
2278,2.9,1800,27.38,40.77,121.23,13930,80,4.35,0.12, SPB,7554109874.01641,1,13.2275132275132,0
2279,3.6,1800,54.79,52.38,297.27,5181,200,-999,-999, Trans/Eclipse,12486807.4509791,5,96.3501786619928,62.4372128633239
2280,5.2,1800,109.58,73.62,316.76,3126,250,-999,-999, LPV;MIRA,97008148525.9272,6,32.8042328042328,31.6915555555557
2281,6.4,1800,54.79,34.95,282.29,6989,200,-999,-999, Trans/Eclipse,435642.755967297,8,45.8354602685639,37.6830653392281
