ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
1,16.8,1800,27.38,9.84,108.1,4354,300,-999,-999, Trans/Eclipse,2.57249406088438,2,29.868578255675,41.752688172043
2,6,1800,82.17,65.38,108.08,8000,200,-999,-999, Trans/Eclipse,945985.002596187,19,57.1290862183729,55.6957557202241
3,15.5,1800,27.37,49.41,246.24,2754,250,-999,-999, LPV;MIRA,258.998193553541,2,31.124754839642,11.3783576363637
4,13.8,120,27.4,42.44,226.11,16160,130,3.91,0.16, SPB,40.6655507615468,9,127.493383253476,68.5901491181353
5,14.6,20,27.4,52.68,180.44,8000,200,-999,-999, Trans/Eclipse,0.120471315914788,611,4899.64631546666,4507.44102393718
6,10.3,1800,54.79,40.29,283.81,2780,250,-999,-999, LPV;MIRA,6048815.08738019,2,28.9263229537108,14.505615109661
7,7.7,1800,27.38,41.16,216.18,4601,200,3.29,0.1, Solar-like,159.023001822833,1,14.0393100683937,0
8,12.7,1800,27.38,18.89,172.02,5661,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
9,16.5,120,27.4,30.47,194.04,11990,60,4.27,0.09, SPB,0.258480485294135,30,401.228998751178,426.175418013821
10,13,120,54.8,69.53,334.1,28840,100,3.81,0.1, SPB,4.05897814683868,213,2134.05585093368,1551.80082426802
11,9,1800,356.19,80.72,324.72,7112,234,4.36,0.4, dSct+gDor hybrid,8737.30908165927,71,53.8190379561919,34.4721181612102
12,12.9,1800,27.38,29.76,207.65,6007,200,-999,-999, RR Lyrae; ab type,14210.9111956689,5,54.1516245495186,26.7617328523721
13,10.8,1800,54.77,69.7,251.34,4944,300,-999,-999, Trans/Eclipse,228064.620018473,4,32.6030255607722,7.55818750889173
14,14.3,1800,27.37,20.15,265.87,7261,100,-999,-999, dSct,0.14375670214907,3,187.174895542505,16.4354054747486
15,6.1,120,54.8,45.54,135.12,13860,70,4.26,0.12, SPB,3823763.79620041,417,2023.65089939211,1269.81768564027
16,5,1800,27.38,21.88,51.23,4944,300,-999,-999, Trans/Eclipse,12034018885.0777,1,30.2401935368624,0
17,13.8,120,27.4,14.57,197.2,15210,110,4.14,0.14, SPB,6.41830056194783,43,469.144713093196,394.593107175831
18,12.1,1800,27.38,29.86,42.59,8000,200,-999,-999, Trans/Eclipse,0.46523261015793,1,138.672887504755,0
19,8.6,1800,54.77,48.86,297.29,4938,200,3.46,0.1, Solar-like,27.6108921354528,8,187.836748546944,74.3784523354976
20,8.3,1800,27.38,30.51,51.09,7542,263,4,0.4, dSct,3009082.02722155,1,171.073094865679,0
21,8.5,1800,356.19,78.63,0,2650,250,-999,-999, LPV;MIRA,1694416140.44901,78,82.8748146413021,97.1969093888106
22,12,120,27.4,43.15,349.96,11990,60,4.27,0.09, SPB,863.909177286906,31,220.474317717765,148.923846976472
23,16.4,120,356.2,78.38,351.32,13963,100,4.11,0.1, SPB,0.127675236967569,1985,1721.30113404837,1418.55507083899
24,6.2,120,27.4,41.5,351.32,17258,100,4.16,0.1, SPB,2068623.16378511,14,137.051602905637,89.2912048608931
25,16.7,1800,27.37,30.35,257.89,3466,250,-999,-999, LPV;SR,1.19222789897749,3,38.7993519233893,16.4354054747477
26,7.8,1800,27.38,32.72,81.06,4614,300,-999,-999, Trans/Eclipse,60324842.8748507,17,87.1290545214411,61.3913043485887
27,6.2,120,27.4,31.54,96.38,16634,100,4.15,0.1, SPB,9899229.5200536,24,190.738264237364,118.516999278934
28,12,120,27.4,28.11,108.1,33113,100,3.93,0.1, bCep,223.56273599707,55,311.610602473175,205.895484002009
29,13.2,1800,27.38,22.59,54.06,7266,242,4.09,0.4, dSct+gDor hybrid,0.260297921590774,2,99.4220151841197,75.7798913052891
30,16,1800,54.79,65.26,273.36,4708,200,2.96,0.1, Solar-like,0.000129403646010118,10,109.749872383197,35.0026799385302
31,11.3,1800,27.38,50.14,78.57,6338,200,3.96,0.1, Solar-like,0.0948448587952059,1,177.277432714417,0
32,16.7,120,27.4,46.54,39.13,14554,100,4,0.1, SPB,NA,NA,NA,NA
33,16.5,120,27.4,28.7,23.38,16210,150,4.15,0.14, SPB,0.152240229266083,38,240.16837245519,239.68913895722
34,6.1,1800,27.4,32.01,149.68,5019,200,3.56,0.1, Solar-like,1856.57587820731,7,106.373815676141,88.1131782945732
35,7.9,120,27.4,37.57,216.2,14680,90,4.16,0.13, SPB,2387416.82191642,52,472.903885473751,380.845513046353
36,5.3,1800,54.77,65.47,90.7,7498,100,-999,-999, dSct,8086403.7242805,2,93.1235134216784,32.2728720693171
37,14.1,1800,27.38,35.97,189.16,7042,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
38,13.5,120,82.2,72.62,225.76,14092,100,4.23,0.1, SPB,59.9063259752087,189,868.376300158566,1037.20935947504
39,9.5,1800,27.4,29.31,143.94,6970,300,-999,-999, Trans/Eclipse,6195500.89666781,1,31.0077519379845,0
40,15.6,1800,27.38,11.22,81.06,6392,200,3.95,0.1, Solar-like,1.2018908630187e-05,4,132.850241547544,86.6512681170179
41,11.1,1800,27.38,24.98,54.06,5148,200,3.07,0.1, Solar-like,0.747687741924193,6,177.277432714417,28.4574275365859
42,14.7,1800,27.38,55.04,48.37,3169,250,-999,-999, LPV;MIRA,765.265962527196,1,34.9922239497979,0
43,10,120,27.4,25.08,324.29,16420,140,4,0.15, SPB,NA,NA,NA,NA
44,10.5,120,27.4,53.16,28.32,14050,80,4.2,0.12, SPB,8327.76220054934,3,70.7934041267375,28.7995337995338
45,11.6,1800,27.38,23.27,216.18,6181,200,-999,-999, Trans/Eclipse,6.18871354752114,2,17.5491375854921,20.8146811074005
46,17,1800,27.38,9.39,303.05,6942,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
47,15.6,1800,27.38,23.64,189.16,5373,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
48,6.3,1800,54.79,62.83,137.21,7498,100,-999,-999, dSct+gDor hybrid,1701365.03031098,6,218.292109872272,23.90881712162
49,12.7,120,27.4,28.75,39.58,13960,80,4.09,0.13, SPB,97.9331109062348,2,57.1958905292239,14.399766899767
50,11.1,1800,82.19,73.16,270.25,5670,200,3.88,0.1, Solar-like,0.0593514632974553,10,130.53228399763,76.5326224930181
51,6.8,1800,54.77,62.07,59.44,5048,300,-999,-999, Trans/Eclipse,332182779.081149,15,34.0831629177278,25.2658486709116
52,12.9,1800,27.38,37.29,241.02,7498,100,-999,-999, gDor,215.186654626122,1,14.0101304017656,0
53,5.2,1800,27.38,6.23,216.21,5291,300,-999,-999, Trans/Eclipse,8113290825.86238,3,14.0101304017656,13.5813126412377
54,13.2,1800,54.77,65.15,339.03,8000,200,-999,-999, Trans/Eclipse,0.376938612442832,12,69.1527724746512,74.5357006491027
55,6.6,120,27.4,31.25,320.77,13690,70,4.23,0.12, SPB,1142980.86548372,4,77.1604938271604,11.4398148148148
56,6.2,1800,27.4,9.8,278.76,6151,200,-999,-999, RR Lyrae; ab type,12896176803.3998,9,84.9773678356617,50.6482193178501
57,8.9,120,27.4,27.51,189.17,11990,60,4.27,0.09, SPB,310761.894510222,30,401.228998751178,426.175418013821
58,14.2,120,27.4,32.64,286.08,15210,110,4.14,0.14, SPB,3.00097670961227,66,588.378406057097,631.545277599283
59,14.2,1800,27.38,23.95,54.04,3275,250,-999,-999, LPV;MIRA,598.009487504048,1,34.9922239497979,0
60,12.7,1800,27.38,37.82,127.94,6532,200,3.94,0.1, Solar-like,0.00244474195317479,3,213.346987540536,22.1415770609312
61,6.2,120,27.4,33.94,54.05,13930,80,4.35,0.12, SPB,17315739.1562942,19,240.870240870241,188.796943796944
62,7.8,120,27.4,46.23,248.69,13380,60,4.14,0.12, SPB,1145006.83827168,62,522.804774079268,512.211125315501
63,10,120,54.8,64.37,189.17,16368,100,4.22,0.1, SPB,15006.9769617575,634,1917.4183023205,1232.6190872701
64,12.2,1800,27.37,45.9,253.71,7049,246,4.08,0.4, dSct,272.04218798313,5,110.428924705031,51.2026093636371
65,16.1,1800,27.38,7.34,105.07,5994,200,-999,-999, RR Lyrae; ab type,120.386681049167,6,67.5675675692373,42.6144144154674
66,11,120,27.4,51.19,324.29,15066,100,3.97,0.1, SPB,1369.2736037969,40,197.616598079561,115.351466049382
67,10.5,120,27.4,62.6,27.02,13380,60,4.14,0.12, SPB,7852.99596571588,32,232.742671893412,191.877132236094
68,13.6,1800,27.38,34.31,56.86,8000,200,4.18,0.1, Trans/Eclipse,3.77760470186344,8,100.716011043349,68.4257246385309
69,14.4,1800,27.38,42.54,81.08,5090,200,3.45,0.1, Solar-like,0.000616863461624505,2,77.4345774364911,108.444144146824
70,10.6,1800,27.4,8.99,146.08,6228,300,-999,-999, Trans/Eclipse,92.0376169653525,8,39.1903531438415,26.1785529715763
71,16.5,1800,27.38,9.14,199.32,2917,250,-999,-999, LPV;MIRA,NA,NA,NA,NA
72,13.1,1800,27.38,7.96,227.64,6894,200,3.57,0.1, Solar-like,0.00465426876523028,5,155.189136758018,39.9450371801111
73,12.5,120,137,74.03,216.2,14680,90,4.16,0.13, SPB,499.097263484027,698,1662.51147914202,1261.66910216524
74,16.4,1800,27.38,45.61,189.18,6823,200,-999,-999, RR Lyrae; ab type,138.724891658262,10,103.539911754404,69.506167269355
75,5.3,1800,27.38,29.43,54.04,6934,100,-999,-999, dSct+gDor hybrid,8456372.97179952,2,44.7122861580752,22.0968118193207
76,11.9,1800,27.38,13.74,189.18,5745,300,-999,-999, Trans/Eclipse,49332.2244111815,2,28.3293221022944,35.3106197357687
77,7.2,1800,27.38,49.42,307.22,5261,300,-999,-999, Trans/Eclipse,247351046.090307,2,30.8880308876493,41.9783783778598
78,10.9,1800,27.38,49.94,335.34,6127,200,-999,-999, RR Lyrae; ab type,5545958.00777149,10,126.9597818662,85.5880623711377
79,13.7,1800,54.77,63.46,56.04,7380,200,3.76,0.1, Solar-like,0.000707889778156841,9,81.014065239266,64.3341028604703
80,15.3,1800,27.4,13.82,18.74,4727,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
81,16.6,120,27.4,10.2,266,22438,100,4.25,0.1, hybrid,0.0173698743429047,10,138.959931797669,72.9924552423697
82,14.9,1800,27.38,21.23,216.18,6916,300,-999,-999, Trans/Eclipse,333.385624756042,2,31.5884476538858,43.8595066191653
83,16,1800,27.38,41.46,135.1,7636,200,-999,-999, Trans/Eclipse,0.0264804187812918,8,56.1102577231609,62.3127240143368
84,6,1800,27.38,6.8,105.27,6902,100,-999,-999, dSct,NA,NA,NA,NA
85,11,1800,27.38,23.01,337.67,7209,252,4,0.4, dSct+gDor hybrid,11.2745302327433,6,189.587593726371,53.0582822079379
86,14.6,1800,27.38,48.43,225.73,5745,200,-999,-999, Trans/Eclipse,0.127066072822603,4,86.2381989832969,75.8168119099489
87,8.3,1800,27.38,26.95,62.35,2530,250,-999,-999, LPV;MIRA,340866197.452109,1,34.5065562461153,0
88,10,1800,27.37,36.93,256.45,5800,200,-999,-999, Trans/Eclipse,834.794899306681,5,97.8637068879448,64.5839599008587
89,17,1800,27.37,46.66,258.58,4693,300,-999,-999, Trans/Eclipse,3.91447792480098,9,31.124754839642,38.5599897676774
90,16.3,1800,27.4,15.82,150.51,7291,255,4.09,0.4, gDor,0.457439854923386,4,46.9422911283377,10.8545219638243
91,6.3,120,27.4,39.26,348.61,14680,90,4.16,0.13, SPB,45290785.3049767,16,3149.84592330177,429.41812655716
92,7.1,1800,27.4,13.28,289.5,7717,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
93,16,1800,27.38,47.83,54.06,7693,269,3.51,0.4, dSct,NA,NA,NA,NA
94,8.5,120,164.4,75.27,0,14157,100,4,0.1, SPB,210315.56789513,929,1543.13679058913,1326.98910726793
95,13.8,120,27.4,49.91,202.98,16420,140,4,0.15, SPB,5.45564054014467,57,495.20830826504,364.125466132122
96,11.7,1800,54.77,54.96,102.54,3478,250,-999,-999, LPV;SR,2331981.06962446,5,27.2665303341823,17.0544478528653
97,10.2,1800,109.58,73.98,136.41,7162,250,3.97,0.4, dSct+gDor hybrid,7822.56511160219,10,19.6708447329396,13.2849462365998
98,8.1,20,54.8,56.67,117.13,8000,200,-999,-999, Trans/Eclipse,33980.2668170893,638,1732.49856502169,986.214715449548
99,8.1,1800,27.38,21.28,95.89,3308,250,-999,-999, LPV;SR,NA,NA,NA,NA
100,13.8,1800,27.38,33.58,68.23,6732,235,4.13,0.4, dSct+gDor hybrid,11.5301536787466,2,20.7039337476692,14.708333333516
101,16.1,1800,27.38,11.41,131.31,6228,300,-999,-999, Trans/Eclipse,23.4842541026232,8,39.2558457074586,26.2535842293907
102,10.1,1800,27.38,45.46,238.01,6747,200,-999,-999, RR Lyrae; c type,5138520.82791768,4,72.7449078553211,43.1406401545196
103,10.4,1800,164.37,76.36,282.25,6325,200,-999,-999, RR Lyrae;rrc,1161248.12174043,12,82.6942361196018,55.0716495061523
104,13.3,1800,27.4,6.82,143.53,6855,200,-999,-999, RR Lyrae; ab type,38871.856478438,9,107.665805340224,63.850129198967
105,13,20,27.4,10.2,247.51,7353,200,-999,-999, Trans/Eclipse,0.0125971022973494,59,1589.4598649489,1651.91144375201
106,9.1,1800,27.38,40.28,189.18,4957,200,3.79,0.1, Solar-like,3.83155406887533,2,88.2470918584747,127.118231048767
107,6.7,1800,27.38,34.8,324.31,5493,300,-999,-999, Trans/Eclipse,26064.7724564019,1,38.343558281738,0
108,15.3,1800,27.38,6.26,54.04,5433,200,3.92,0.1, Solar-like,2.00801921693869e-05,6,88.1285640217131,81.6621306366203
109,15.6,1800,27.38,48.36,207.54,7227,100,-999,-999, dSct,0.0328176388368464,1,190.533493785343,0
110,8.7,1800,27.38,37.78,242.68,6519,300,-999,-999, Trans/Eclipse,24604261.0302946,9,88.9104429342814,52.7274490777463
111,13.5,120,82.2,70.17,345.95,13243,100,4.19,0.1, SPB,11.2526010793353,422,2013.14267986302,1085.70124375857
112,16.4,1800,27.38,50.08,47.12,5855,300,-999,-999, Trans/Eclipse,0.00473199444347322,1,1.72801105924928,0
113,13.1,120,27.4,29.25,228.92,17258,100,4.16,0.1, SPB,6.30050022310579,10,162.728896346737,82.9462268405351
114,11.5,120,27.4,33.8,31.97,13960,80,4.09,0.13, SPB,893.160586782912,2,57.1958905292239,14.399766899767
115,9,1800,27.38,47.59,58.87,5737,300,-999,-999, Trans/Eclipse,6690468.91664819,1,1.72532781230576,0
116,8.5,120,27.4,38.94,211.92,11776,100,4.26,0.1, SPB,22725.4675430668,37,318.777817871018,228.878864425906
117,7.8,1800,27.38,28.62,216.21,7141,200,-999,-999, RR Lyrae; ab type,294490792.30532,5,54.9628192684649,27.1626252824754
118,11.2,1800,356.19,82.3,25.74,5672,200,-999,-999, Trans/Eclipse,8.99918501267011,133,66.6965841982777,65.4729181299629
119,13.6,1800,27.37,21.03,243.23,7334,256,3.93,0.4, dSct+gDor hybrid,2.77936300309455,6,119.595804555063,42.0367101565657
120,9,1800,27.4,26.31,297.27,3148,250,-999,-999, LPV;MIRA,40895249.4045137,1,27.3294047310671,0
121,14.3,120,27.4,10.19,242.44,28840,100,3.81,0.1, SPB,0.36660039665637,15,220.558173560866,137.180298236269
122,11.8,1800,27.4,29.64,277.85,6303,200,3.52,0.1, Solar-like,0.0479354429457159,5,65.7613801341301,94.3323084794957
123,9.1,1800,356.19,78.29,11.99,7294,255,4.03,0.4, gDor,13448.9022725555,52,46.1445407008074,31.0007999687526
124,8.9,120,54.8,45.43,31.01,26242,100,3.66,0.1, bCep,51491.885994584,203,1103.0480195543,1246.96856248783
125,11,20,82.2,68.32,158.98,4018,200,-999,-999, Trans/Eclipse,11.7389221389517,2583,6543.2154970056,5714.16289178687
126,12.7,20,54.8,62.47,294.07,8000,200,-999,-999, Trans/Eclipse,7.31239955302206,996,2256.58711660676,1532.68494103955
127,7.7,1800,54.79,48.08,44.59,5545,300,-999,-999, Trans/Eclipse,115154750.714652,4,15.4969642931065,18.0973761302079
128,10.5,1800,27.38,28.81,33.09,4672,200,-999,-999, Trans/Eclipse,225.378541310119,2,152.202856451222,77.6112926652142
129,12.6,120,27.4,31.61,189.17,13963,100,4.11,0.1, SPB,148.655510721353,33,570.391755876129,400.538012745333
130,11.9,20,27.4,10.99,255.31,6949,200,-999,-999, Trans/Eclipse,4.49263061474113,504,3242.64304709004,3280.12484651676
131,11.2,120,27.4,20.56,179.92,18440,180,3.91,0.17, SPB,691.278438357965,17,161.39555647061,106.278201297595
132,6.3,120,27.4,40.99,270.25,14050,80,4.2,0.12, SPB,18940728.7231558,91,954.380932857214,1063.75512188817
133,12.8,1800,27.38,38.8,346.78,6996,200,-999,-999, RR Lyrae; c type,46928.1780217355,5,120.995228355707,60.0063905923109
134,11.4,1800,27.38,10.97,331.14,5580,300,-999,-999, Trans/Eclipse,144135.886638278,1,3.8343558281738,0
135,16.2,1800,27.37,19.61,243.23,7268,254,4.22,0.4, dSct+gDor hybrid,0.0311305678460723,4,163.72473778661,49.6222819141422
136,9.9,120,54.8,62.1,57.84,15210,110,4.14,0.14, SPB,8155.99314463871,63,233.772672102363,234.440227703503
137,14.1,120,27.4,24.15,336.64,33113,100,3.93,0.1, bCep,4.65243613236724,119,802.730817018734,877.136217361423
138,16.8,1800,27.38,18.91,207.52,7636,267,3.67,0.4, dSct,0.145182988192748,3,108.303249099037,62.4440433222013
139,7.1,120,27.4,36.08,54.05,14050,80,4.2,0.12, SPB,4370471.73003449,3,70.7934041267375,28.7995337995338
140,17,120,54.8,60.37,243.22,33113,100,3.93,0.1, bCep,0.0222704052775788,202,2185.28866432651,1276.41852927607
141,15.4,1800,27.38,12.77,168.14,7568,264,4.23,0.1, dSct;Trans/Eclipse,NA,NA,NA,NA
142,11.3,1800,27.38,13.47,299.73,6922,184,3.98,0.4, dSct+gDor hybrid,93.1736460262411,3,28.7430287426736,34.3459459455216
143,12.2,120,27.4,28.84,81.07,15210,110,4.14,0.14, SPB,120.746690668474,66,336.899495933859,205.895484002009
144,15.7,20,27.4,13.35,324.3,6020,200,-999,-999, Trans/Eclipse,0.00290116884210975,202,2086.17079229511,1265.51563721414
145,11.5,120,356.2,80.93,21.34,15066,100,3.97,0.1, SPB,527.079580466427,2241,1685.07759121684,1283.85862672943
146,10.1,1800,27.38,15.92,38.54,8000,200,-999,-999, Trans/Eclipse,621.259048437997,5,34.5602211849856,46.7555728350844
147,6.2,120,54.8,50.98,321.79,15210,110,4.14,0.14, SPB,7618918.87414675,68,437.931239593448,496.051927197896
148,5.1,1800,54.77,63.12,216.21,4806,200,2.88,0.1, Solar-like,97133.9596722063,14,89.5101247213926,51.5011381419841
149,7.4,1800,27.37,40.06,270.23,8073,282,4.18,0.1, gDor;Trans/Eclipse,125702.965798195,6,57.1331116234524,27.8137631111116
150,11.4,1800,27.38,29.02,108.1,6319,300,-999,-999, Trans/Eclipse,6.08171355318078,1,2.13346987540536,0
151,7.8,1800,54.77,57.94,106.38,7014,100,-999,-999, dSct,141316.256079801,7,133.792048929663,17.946865443425
152,6.3,1800,27.38,9.15,203.56,7119,200,-999,-999, RR Lyrae; c type,4350928462.80596,5,102.286401926868,50.5499398322597
153,6.9,1800,356.19,78.36,0,7498,100,-999,-999, dSct,58548.7797297259,11,225.68224979817,5.01412627799442
154,8.5,1800,54.77,65.98,27.04,4623,200,3.02,0.1, Solar-like,130.227499916546,13,116.284040871136,68.770937540504
155,14.1,1800,27.4,6.64,277.57,7878,200,-999,-999, Trans/Eclipse,0.0508457156497644,1,2.13510974461462,0
156,8.8,1800,27.4,27.11,272.28,7227,100,-999,-999, dSct,8926.09949410838,1,190.451789219624,0
157,14.9,1800,27.38,37.24,324.29,3104,250,-999,-999, LPV;MIRA,235.498779554,1,38.1810381805665,0
158,6.4,1800,27.4,14.65,27.02,6360,200,-999,-999, RR Lyrae; c type,3610200969.30372,2,46.2962962962963,22.6697247706422
159,7,1800,54.79,66.54,171.88,7674,268,3.63,0.4, dSct+gDor hybrid,10619734.3815948,5,64.718697936691,52.8844034345764
160,8.5,1800,27.38,22.03,165.29,6152,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
161,8.1,120,27.4,26.05,235.62,26242,100,3.66,0.1, bCep,225956.755381582,9,140.942052373041,68.5901491181353
162,12.5,1800,27.37,13.08,268.2,5291,300,-999,-999, Trans/Eclipse,12915.8985548665,3,14.0700946535368,10.7462266565658
163,11.1,120,27.4,14.99,237.36,16160,130,3.91,0.16, SPB,5877.96043701141,9,127.493383253476,68.5901491181353
164,11.5,1800,27.38,13.97,108.08,7174,200,-999,-999, RR Lyrae; ab type,1262010.45185424,7,88.3740883762722,65.5117117133302
165,15.9,20,27.4,22.23,216.2,6020,200,-999,-999, Trans/Eclipse,0.000513674796401653,482,5549.79149115856,4727.68615414808
166,14.9,1800,27.4,29.35,272.07,7269,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
167,12.6,1800,27.38,16.83,303.78,6228,300,-999,-999, Trans/Eclipse,14807.3123562091,7,35.1780351776006,22.8972972970145
168,16.3,1800,27.38,20.63,320.18,6593,200,4.45,0.1, RR Lyrae; ab type;Trans/Eclipse,72.2608696491151,5,55.7700557693668,27.3495495492117
169,7.5,1800,27.38,21.07,194.45,5619,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
170,7.4,1800,27.37,37.86,266.03,3078,250,-999,-999, LPV;SR,50392041.0999346,2,31.124754839642,11.3783576363637
171,11.1,1800,27.38,16.76,46.61,7498,100,-999,-999, dSct,264.398444868016,2,196.993260754418,48.0365474333059
172,9.6,120,27.4,7.58,81.07,16210,150,4.15,0.14, SPB,25542.8228373507,52,928.105758802259,1189.98460705107
173,14.3,1800,27.4,13.62,295.39,5800,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
174,5.7,1800,27.38,35.4,31.61,4535,200,3.06,0.1, Solar-like,16263.2130003132,6,163.513046481463,28.5016848104278
175,16.3,1800,27.38,30.79,110.52,6230,200,-999,-999, RR Lyrae; ab type,151.621106543587,8,89.179040791944,58.5170250896055
176,14.2,1800,27.38,26.18,67.97,5698,200,3.54,0.1, Solar-like,0.000683566729715302,5,83.2470669437531,41.5670289860239
177,10.9,1800,27.38,49.4,54.06,6127,300,-999,-999, Trans/Eclipse,355927.770835203,15,107.83298826911,88.2500000010964
178,13.8,1800,27.38,19.92,167.25,7274,254,3.99,0.4, dSct,NA,NA,NA,NA
179,8.5,1800,54.79,42.51,189.16,6914,200,-999,-999, RR Lyrae; ab type,59739168.0483673,5,54.0390448118245,26.9172113289761
180,9,120,27.4,49.08,198.21,13930,80,4.35,0.12, SPB,98791.9607141867,50,597.959020000195,540.614850226773
181,7.5,120,54.8,50.9,162.15,13860,70,4.26,0.12, SPB,290200.81702228,369,2042.78170359821,1332.60899511654
182,10.2,120,27.4,25,298.37,13930,80,4.35,0.12, SPB,10917.5440284919,1,13.2887517146776,0
183,9.8,120,27.4,50.14,38.93,14321,100,4.23,0.1, SPB,39303.0973895015,23,368.212034878702,474.872312872314
184,13.3,1800,27.38,36.83,311,6886,200,4.41,0.1, RR Lyrae; c type;Trans/Eclipse,8879.56913671588,5,95.6670956659138,47.7027027021127
185,14.9,1800,27.4,53.47,12.27,7010,140,3.82,0.15, dSct+gDor hybrid,NA,NA,NA,NA
186,6.5,120,27.4,35.37,162.15,13860,70,4.26,0.12, SPB,1833296.72254054,41,1587.56799556041,1950.48724433072
187,14.3,1800,27.38,30.4,299.07,6580,200,-999,-999, RR Lyrae; c type,1373.52673482098,5,111.540111538734,55.3351351344522
188,10.3,1800,54.79,56.91,180.22,2513,250,-999,-999, LPV;MIRA,1936440.71716691,2,40.4758853432441,14.091951813405
189,14.3,1800,27.4,25.61,283.21,7008,200,3.95,0.1, Solar-like,0.000117273355795676,4,76.8639508061264,69.3247501913076
190,13.2,120,356.2,80.08,104.47,16368,100,4.22,0.1, SPB,41.3364945653269,1078,1564.26199571365,1541.27153414641
191,9.3,1800,27.38,30.59,198.88,5860,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
192,8.2,20,27.4,47.91,331.43,5777,200,-999,-999, Trans/Eclipse,10738.7533684954,575,5049.9676530637,4106.69447384316
193,13.3,1800,27.38,20.69,81.08,8000,200,-999,-999, Trans/Eclipse,0.115267347366215,2,43.7580437575031,62.3315315307613
194,12.7,1800,27.38,18.92,328.54,8000,200,-999,-999, Trans/Eclipse,3.03142403933289,2,39.4086571243481,55.9006901854208
195,6.1,1800,27.4,29.61,24.33,5276,300,-999,-999, Trans/Eclipse,2954211826.55626,1,6.37104994903161,0
196,6.8,1800,27.38,14.76,324.31,5522,300,-999,-999, Trans/Eclipse,547514799.771122,3,61.7757327872446,11.369631901701
197,14.3,1800,54.79,54.73,243.23,6732,235,4.13,0.4, dSct+gDor hybrid,5.12260843069345,3,21.6947422152832,13.2442572740383
198,16.9,1800,27.37,11.18,270.23,4730,200,2.87,0.1, Solar-like,3.76589500975179e-05,9,98.9170290794102,41.0885136868691
199,5.8,1800,54.77,54.2,255.09,7488,262,3.81,0.4, dSct+gDor hybrid,4385.03015287727,3,15.6494522691706,14.0617442025893
200,5.6,1800,27.4,19.74,270.25,2906,250,-999,-999, LPV;MIRA,5178924777.25764,1,27.3294047310671,0
201,10.4,1800,27.38,26.28,105.35,7520,150,3.3,0.15, dSct+gDor hybrid,33303.021356708,3,57.486057487478,17.1729729733973
202,13.4,20,27.4,37.86,55.99,5696,200,-999,-999, Trans/Eclipse,0.788035748821718,481,5204.49783146628,5067.84378332699
203,7.6,1800,27.4,38.92,135.12,7567,264,4.11,0.4, dSct+gDor hybrid,NA,NA,NA,NA
204,9.9,1800,27.38,49.19,163.8,5140,300,-999,-999, Trans/Eclipse,1300908.19837313,10,109.134656698461,100.649136375354
205,10.3,1800,27.38,18.45,95.7,5007,200,3.2,0.1, Solar-like,2.41911326059188,2,78.2925782945128,103.991891894461
206,9.9,1800,27.38,9.24,307.4,6403,200,-999,-999, RR Lyrae; c type,9971786.59871031,5,102.102102100841,50.8828828822538
207,8.3,1800,27.4,17.68,9.65,4642,200,2.82,0.1, Solar-like,343.358475675922,4,71.7804960924228,10.7051478083589
208,7.9,1800,27.4,24.29,155.28,4693,300,-999,-999, Trans/Eclipse,74485799.3554669,5,20.671834625323,7.66201550387604
209,10.2,20,27.4,7,42.5,5171,200,-999,-999, Trans/Eclipse,46.5995373079454,287,5270.13260583566,4490.08978519996
210,15.7,1800,27.38,28.8,44.83,7261,100,-999,-999, dSct,0.0108309015827849,3,187.489199928547,16.6526697768789
211,7.2,120,27.4,23.63,198.76,11990,60,4.27,0.09, SPB,7119143.71846294,30,401.228998751178,426.175418013821
212,5.1,1800,27.4,7.53,0,7498,100,-999,-999, dSct,1723371.90884747,2,48.6323479442746,19.836009174312
213,15.8,1800,27.4,8.74,15.55,6916,200,-999,-999, RR Lyrae; ab type,289.900044777752,3,35.2531430513082,25.8182976554538
214,13.5,120,27.4,28.36,314.19,13380,60,4.14,0.12, SPB,31.409131251254,30,168.038408779149,83.2564300411525
215,7.3,1800,82.19,71.79,12.83,7517,263,4.24,0.1, gDor;Trans/Eclipse,11063.8743542119,10,37.9558948261238,23.787828668363
216,9.1,120,27.4,21.06,162.15,22438,100,4.25,0.1, hybrid,17363.240148531,113,1739.91255246699,1624.44897745043
217,10.1,1800,27.38,46.52,197.91,6138,200,-999,-999, RR Lyrae; ab type,21165382.4563142,10,101.032892099333,68.0194043331125
218,7.4,120,27.4,31.92,216.2,16210,150,4.15,0.14, SPB,2638287.65194322,15,243.151937681735,131.597379122003
219,6.5,120,27.4,31.19,38.55,13963,100,4.11,0.1, SPB,11241570.4770599,3,57.4117240783907,28.7995337995338
