ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
93,14.7,1800,27.38,52.21,31.01,7697,269,3.88,0.4,  dSct+gDor hybrid,NA,NA,NA,NA
94,15.8,1800,356.19,81.88,351.31,5818,200,-999,-999,  Trans/Eclipse,1.02802571963582,11,13.5279273654235,17.5494419729798
95,12.3,1800,54.79,60.36,269.18,5522,300,-999,-999,  Trans/Eclipse,22080.7014178523,7,13.8250808234648,9.14484430826444
96,9.3,1800,27.38,11.82,324.31,5893,300,-999,-999,  Trans/Eclipse,5642961.93952673,7,33.6571233806367,21.4759713698796
97,6.3,1800,82.19,72.77,5.98,4835,300,-999,-999,  Trans/Eclipse,1485308375.80118,7,28.8379983036471,13.6229855810009
98,8.2,1800,54.79,64.1,188.94,7301,234,4.03,0.4,  dSct+gDor hybrid,166912.43591403,10,41.116664530736,41.8008458285275
99,15.4,1800,27.37,57.04,243.23,7038,200,-999,-999,  RR Lyrae; ab type,404.626123716518,8,87.6183167061155,57.8399846515163
100,14.3,1800,27.38,10.96,108.08,5140,300,-999,-999,  Trans/Eclipse,390.339476269496,4,20.1630201635184,7.6324324326211
101,10.5,1800,27.38,9.59,99.59,6086,200,4.33,0.1,  Solar-like;Flare,3154.92327799274,1,37.7520377529706,0
102,7.6,120,27.4,7.77,343.72,14554,100,4,0.1,  SPB,578369.438447435,7,864.87222703185,1154.15981406766
103,8.6,1800,82.19,73.18,164.99,5380,300,-999,-999,  Trans/Eclipse,16809784.1200788,2,9.55901096107723,12.9124394597026
104,2.6,120,27.4,22.36,253.12,6584,200,4.29,0.1,  Solar-like,7076173436.8107,44,337.595907925626,289.125959076918
105,15.7,1800,27.38,37.16,58.48,7231,253,3.98,0.4,  dSct,195.087678818796,1,189.354727400558,0
106,14.1,1800,54.79,58.61,269.44,7498,100,-999,-999,  gDor,34.3138794108461,3,14.037774374595,10.4062021438873
107,16.5,1800,27.38,9.14,199.32,2917,250,-999,-999,  LPV;MIRA,NA,NA,NA,NA
108,11.3,1800,27.38,35.67,323.11,6791,300,-999,-999,  Trans/Eclipse,191505.941323922,1,1.71600171598052,0
109,10,1800,27.37,36.93,256.45,5800,200,-999,-999,  Trans/Eclipse,NA,NA,NA,NA
110,9.2,1800,356.19,84.8,351.31,7240,265,4.19,0.4,  dSct+gDor hybrid,139563.321023362,101,50.4045370586691,58.2892179816826
111,12.6,120,27.4,14.12,276.52,13860,70,4.26,0.12,  SPB,257.044045108338,4,683.773816832404,971.68113602575
112,5.4,20,27.4,21.48,81.07,5800,200,-999,-999,  Trans/Eclipse,59826540.6149607,84,1003.05539923784,890.092466051688
113,8.7,1800,27.38,17.18,324.31,7498,100,-999,-999,  dSct,49602.6533112559,1,129.089979548518,0
114,4.8,1800,27.37,18.99,261.59,2819,250,-999,-999,  LPV;MIRA,201112062161.123,2,31.124754839642,11.3783576363637
115,11.2,1800,27.38,44.37,178.49,5665,300,-999,-999,  Trans/Eclipse,168079.077260405,1,2.14832001374925,0
116,5.9,20,27.4,7.58,189.17,5212,200,-999,-999,  Trans/Eclipse,8025799.48811454,56,497.690749276765,565.736985801038
117,3.6,1800,356.19,80.26,246.46,7555,200,4.23,0.1,  Trans/Eclipse,3819855495.17412,92,63.7698691432581,77.6225318035641
118,16.5,1800,27.4,51.06,280.5,6457,200,-999,-999,  RR Lyrae; ab type,75.0022973744245,8,76.4369288572032,50.3316679471138
119,7.8,1800,27.38,31.12,54.06,3482,250,-999,-999,  LPV;MIRA,23512796.7963425,2,28.6835748795834,8.63315217402027
120,8.2,1800,27.38,22.99,329.95,5522,200,3.58,0.1,  Solar-like,NA,NA,NA,NA
121,7.8,1800,27.38,29.92,98.35,7288,288,3.94,0.4,  dSct+gDor hybrid,689980.59900137,1,115.830115832978,0
122,13.3,1800,27.38,8.51,305.72,3444,250,-999,-999,  LPV;SR,16717.7348706675,1,38.1810381805665,0
123,8.3,1800,27.4,31.84,271.96,7533,263,3.52,0.4,  dSct+gDor hybrid,297696.35007891,1,66.615424031976,0
124,14.4,1800,27.38,42.54,81.08,5090,200,3.45,0.1,  Solar-like,NA,NA,NA,NA
125,8.5,1800,27.38,19.39,322.95,7142,300,-999,-999,  Trans/Eclipse,45548760.5191186,2,23.1660231657369,27.9855855852398
126,16.6,120,27.4,6.05,304.39,16160,130,3.91,0.16,  SPB,3.78145891765499,4,2043.89574759945,2200.57548868313
127,6.4,120,27.4,47.18,314.73,13960,80,4.09,0.13,  SPB,20742439.6941167,21,285.922496570644,287.266460905349
128,13.8,1800,27.4,34.59,13.83,5696,200,-999,-999,  Trans/Eclipse,5.4751912219206,1,19.1121535917379,0
129,16.7,120,27.4,21.39,268.99,16368,100,4.22,0.1,  SPB,NA,NA,NA,NA
130,11.8,1800,27.38,7.05,135.1,6127,300,-999,-999,  Trans/Eclipse,68302.7492161938,15,107.52688172043,88.5663082437273
131,2.1,1800,27.4,33.44,146.93,26242,100,3.66,0.1,  bCep,25403562229.3416,2,16.3652024117141,13.408527131783
132,13.4,120,54.8,61.65,144.81,34040,100,4.1,0.1,  bCep,37.622826203374,11,709.839536717081,1017.10719660386
133,16.7,1800,27.37,44.55,243.23,7498,100,-999,-999,  dSct,0.266073918286296,1,71.2032062769892,0
134,9.9,1800,54.79,60.12,260.25,4354,300,-999,-999,  Trans/Eclipse,26931.8032161803,5,34.4563552830968,17.0283307809065
135,5,1800,54.77,46.21,243.21,7750,155,3.6,0.15,  dSct+gDor hybrid,194005800.893941,2,88.4223918580463,6.60190839698689
136,7.4,1800,27.38,8.35,135.1,5358,300,-999,-999,  Trans/Eclipse,152457207.623171,8,29.6552312681345,24.0394265232975
137,5.8,120,27.4,25.72,108.1,13930,80,4.35,0.12,  SPB,49677319.1336592,60,1060.97061531998,1079.65521652782
138,1.3,1800,27.4,47.89,18.79,6303,200,-999,-999,  Trans/Eclipse,54246793091.3708,3,33.4462687855414,20.6077664837168
139,16.7,120,27.4,19.36,243.22,14321,100,4.23,0.1,  SPB,3.7789662426965,5,1046.03580561804,1252.56317134525
140,7.5,120,54.8,50.9,162.15,13860,70,4.26,0.12,  SPB,1010149.70038608,55,210.251962208204,215.587642540142
141,12.4,1800,27.38,6.01,81.06,5428,300,-999,-999,  Trans/Eclipse,10623.5085835763,1,2.15665976538221,0
142,14.3,1800,27.38,55.87,65.3,6952,201,4.07,0.4,  dSct+gDor hybrid,6.59865006569931,1,25.44858523151,0
143,14.1,1800,27.38,26.64,129.08,6627,200,-999,-999,  RR Lyrae; ab type,6860.65266027413,10,102.193207031917,68.9551971326164
144,13.8,20,54.8,63.64,124.69,8000,200,-999,-999,  Trans/Eclipse,55.7682062028478,49,11983.2479434243,9388.73887643058
145,15.1,120,27.4,7.94,285.51,26242,100,3.66,0.1,  bCep,7.4726478638291,3,2331.74554391725,2440.75163897839
146,16.2,1800,27.38,11.46,99.95,5048,200,3.37,0.1,  Solar-like,NA,NA,NA,NA
147,15.2,1800,27.37,22.77,270.23,4768,300,-999,-999,  Trans/Eclipse,113.420236246562,4,65.660441716505,26.2334356616166
148,9.1,1800,27.4,21.61,144.77,5048,300,-999,-999,  Trans/Eclipse,4791451.76767598,3,20.671834625323,24.9015503875969
149,4.1,1800,27.38,9.15,162.16,6141,200,-999,-999,  Trans/Eclipse,224792545.84468,4,44.8998882873592,18.7920855890693
150,16.9,120,27.4,26.62,97.77,16210,150,4.15,0.14,  SPB,3.70254403911106,5,117.871961045562,163.953811334934
151,8.1,1800,27.38,26.13,324.31,6141,200,-999,-999,  Trans/Eclipse,155546.743883898,2,53.894001364649,7.26393149302079
152,7.8,1800,27.38,21.88,322.54,5763,200,-999,-999,  Trans/Eclipse,NA,NA,NA,NA
153,9.8,1800,82.17,67.88,270.23,28840,100,3.81,0.1,  SPB,52098.3365709498,8,42.2459590825184,37.2870464567293
154,11.9,1800,27.38,8.7,243.21,7843,274,3.54,0.4,  dSct,NA,NA,NA,NA
155,12.1,1800,27.38,55.92,117.64,8000,200,-999,-999,  Trans/Eclipse,45.3625689266025,3,77.231609489674,15.1827956989247
156,16.8,20,82.2,68.04,81.07,5818,200,-999,-999,  Trans/Eclipse,35.7529874814262,46,12524.5439216973,6850.53583559594
157,16.6,120,27.4,6.48,6.9,26242,100,3.66,0.1,  bCep,4.06594116805601,5,898.721930848217,1284.63312795444
158,14,1800,54.79,58.76,54.04,8068,282,3.76,0.4,  dSct,16.8727000773158,2,101.154842269387,53.3479174620909
159,3.5,120,27.4,21.8,293.4,6569,200,4.19,0.1,  Solar-like,4187093892.81474,68,489.99521955281,443.284035028355
160,6,120,27.4,10.5,101.28,18440,180,3.91,0.17,  SPB,23372196.9558386,28,205.740150188616,128.366937556809
161,9.9,1800,54.77,35.55,205.72,5745,300,-999,-999,  Trans/Eclipse,1555342.62383097,4,20.5682782019916,22.0063613232896
